temp,rain,poi,count,popularity,position
4.0,rain,61,60863,17.457663094609792,1
4.0,rain,59,47780,13.704995525367721,2
4.0,rain,71,45908,13.168039652126023,3
4.0,rain,54,38461,11.03197641065651,4
4.0,rain,49,36135,10.364797264737604,5
4.0,rain,52,34000,9.752403680671884,6
4.0,rain,202,17933,5.143819270749673,7
4.0,rain,63,15683,4.498439615411093,8
4.0,rain,62,15610,4.477500631037885,9
4.0,rain,42,11914,3.417356983868377,10
4.0,rain,58,10296,2.9532573028293445,11
4.0,rain,76,6925,1.9863351614309646,12
4.0,rain,75,4836,1.3871360058743891,13
4.0,rain,201,2213,0.6347667454507905,14
4.0,rain,50,75,0.021512655177952682,15
4.0,no_rain,61,82153,18.69871697116884,1
4.0,no_rain,59,61229,13.936237768890933,2
4.0,no_rain,71,56309,12.81640419618938,3
4.0,no_rain,54,47331,10.772935534458782,4
4.0,no_rain,49,46063,10.484328020193422,5
4.0,no_rain,52,40957,9.322159275840956,6
4.0,no_rain,202,20725,4.717185120780424,7
4.0,no_rain,62,18251,4.154081816133342,8
4.0,no_rain,63,17712,4.03140086172559,9
4.0,no_rain,42,15283,3.4785399373166332,10
4.0,no_rain,58,12612,2.870597768071542,11
4.0,no_rain,76,8620,1.9619848367250785,12
4.0,no_rain,75,7664,1.7443911587773784,13
4.0,no_rain,201,3141,0.7149181406210524,14
4.0,no_rain,50,1301,0.2961185931066505,15
3.0,rain,61,53266,17.536997711821158,1
3.0,rain,59,42340,13.939783034553146,2
3.0,rain,71,39284,12.933642813636887,3
3.0,rain,54,34032,11.20450392611981,4
3.0,rain,49,32726,10.77452384479892,5
3.0,rain,52,30018,9.882957183070769,6
3.0,rain,202,14403,4.741962566052645,7
3.0,rain,62,13646,4.492732151381961,8
3.0,rain,63,13049,4.2961792351885695,9
3.0,rain,42,10496,3.4556439001102937,10
3.0,rain,58,8338,2.7451561393978303,11
3.0,rain,76,5604,1.8450293841671195,12
3.0,rain,75,4143,1.3640179761963553,13
3.0,rain,201,2378,0.7829193211187383,14
3.0,rain,50,12,0.00395081238579683,15
3.0,no_rain,61,93770,18.021567455474603,1
3.0,no_rain,59,73639,14.15260963904974,2
3.0,no_rain,71,67277,12.929902886871758,3
3.0,no_rain,54,56685,10.894236442503761,4
3.0,no_rain,49,53979,10.374172866365186,5
3.0,no_rain,52,51671,9.930600533132433,6
3.0,no_rain,202,24386,4.686722234928054,7
3.0,no_rain,62,22024,4.232771692858831,8
3.0,no_rain,63,21208,4.075945425996644,9
3.0,no_rain,42,18991,3.649862296543864,10
3.0,no_rain,58,13659,2.6251102684688874,11
3.0,no_rain,76,10055,1.9324609231608951,12
3.0,no_rain,75,8789,1.6891495826614724,13
3.0,no_rain,201,3700,0.7110994943506028,14
3.0,no_rain,50,488,0.09378825763326869,15
2.0,rain,61,66445,17.86761107256759,1
2.0,rain,59,50594,13.605145828963575,2
2.0,rain,71,49128,13.210926281482438,3
2.0,rain,54,41171,11.07122304866702,4
2.0,rain,49,38250,10.285741944852289,5
2.0,rain,52,36594,9.840429823004566,6
2.0,rain,202,19042,5.12055158467653,7
2.0,rain,62,16700,4.490768378536816,8
2.0,rain,63,16116,4.333725939431098,9
2.0,rain,42,11720,3.1516051135599694,10
2.0,rain,58,11129,2.992680316451271,11
2.0,rain,76,6989,1.8794000118319647,12
2.0,rain,75,5151,1.3851465819067748,13
2.0,rain,201,2820,0.7583213669146001,14
2.0,rain,50,25,0.0067227071534982285,15
2.0,no_rain,61,77291,18.433385245373827,1
2.0,no_rain,59,58727,14.005995721430292,2
2.0,no_rain,71,53410,12.737926873185959,3
2.0,no_rain,54,47108,11.234942129602027,4
2.0,no_rain,49,42564,10.151228598207961,5
2.0,no_rain,52,42088,10.037705789901716,6
2.0,no_rain,202,19794,4.720736276499586,7
2.0,no_rain,62,18004,4.293833278877365,8
2.0,no_rain,63,17185,4.098507270468091,9
2.0,no_rain,42,15022,3.5826462739000093,10
2.0,no_rain,58,10318,2.4607738153441816,11
2.0,no_rain,76,7780,1.8554778332407187,12
2.0,no_rain,75,6446,1.5373277780295207,13
2.0,no_rain,201,3167,0.7553082645081434,14
2.0,no_rain,50,395,0.09420485143060203,15
1.0,rain,61,57284,17.767273652117005,1
1.0,rain,59,43552,13.50814018045178,2
1.0,rain,71,42387,13.14680239320375,3
1.0,rain,54,35891,11.13199529795635,4
1.0,rain,49,34276,10.631084974861436,5
1.0,rain,52,31488,9.766355574992323,6
1.0,rain,202,15690,4.866429083194536,7
1.0,rain,62,14201,4.40459907013675,8
1.0,rain,63,13880,4.30503732789931,9
1.0,rain,42,10794,3.347879893180486,10
1.0,rain,58,9695,3.007012744523329,11
1.0,rain,76,6069,1.8823682667882498,12
1.0,rain,75,4799,1.4884635545092786,13
1.0,rain,201,2322,0.7201942849698989,14
1.0,rain,50,85,0.026363701215521704,15
1.0,no_rain,61,88857,18.24519112308425,1
1.0,no_rain,59,68310,14.026233224370452,2
1.0,no_rain,71,62875,12.910253461898582,3
1.0,no_rain,54,53756,11.037830379289387,4
1.0,no_rain,49,49363,10.135806626476338,5
1.0,no_rain,52,48211,9.899264089886165,6
1.0,no_rain,202,22976,4.7177094797706856,7
1.0,no_rain,62,20837,4.278504196987368,8
1.0,no_rain,63,19516,4.007260541748115,9
1.0,no_rain,42,17713,3.6370468321369316,10
1.0,no_rain,58,12895,2.647756952543654,11
1.0,no_rain,76,8997,1.8473725709216946,12
1.0,no_rain,75,8313,1.7069254398212788,13
1.0,no_rain,201,3420,0.702235655502078,14
1.0,no_rain,50,977,0.20060942556302053,15
0.0,rain,61,63379,17.828229694681827,1
0.0,rain,59,49877,14.03017738496419,2
0.0,rain,71,46393,13.05014374201824,3
0.0,rain,54,39964,11.24169474933755,4
0.0,rain,49,36761,10.340705151646423,5
0.0,rain,52,35155,9.888944522894644,6
0.0,rain,202,16779,4.719857776977649,7
0.0,rain,62,15846,4.45740904308885,8
0.0,rain,63,14630,4.115353672875797,9
0.0,rain,42,12921,3.634619604048405,10
0.0,rain,58,9851,2.7710423124743317,11
0.0,rain,76,6365,1.7904460784589504,12
0.0,rain,75,4949,1.392131601302961,13
0.0,rain,201,2478,0.6970503350229819,14
0.0,rain,50,150,0.04219433020720229,15
0.0,no_rain,61,89035,18.22623997183208,1
0.0,no_rain,59,68843,14.09276170473225,2
0.0,no_rain,71,62789,12.85345517595737,3
0.0,no_rain,54,53375,10.926327382451142,4
0.0,no_rain,49,51373,10.51650054554871,5
0.0,no_rain,52,47977,9.82130976726667,6
0.0,no_rain,202,23157,4.740439591483299,7
0.0,no_rain,62,20485,4.193457919054082,8
0.0,no_rain,63,19656,4.0237543986784,9
0.0,no_rain,42,18163,3.7181242950343805,10
0.0,no_rain,58,12647,2.5889510521004135,11
0.0,no_rain,76,8840,1.8096249941146245,12
0.0,no_rain,75,7685,1.573186434363223,13
0.0,no_rain,201,3529,0.7224170366776596,14
0.0,no_rain,50,945,0.19344973070569232,15
4.0,rain,300,0,0.0,16
4.0,rain,301,0,0.0,16
4.0,rain,302,0,0.0,16
4.0,rain,303,0,0.0,16
4.0,no_rain,300,0,0.0,16
4.0,no_rain,301,0,0.0,16
4.0,no_rain,302,0,0.0,16
4.0,no_rain,303,0,0.0,16
3.0,rain,300,0,0.0,16
3.0,rain,301,0,0.0,16
3.0,rain,302,0,0.0,16
3.0,rain,303,0,0.0,16
3.0,no_rain,300,0,0.0,16
3.0,no_rain,301,0,0.0,16
3.0,no_rain,302,0,0.0,16
3.0,no_rain,303,0,0.0,16
2.0,rain,300,0,0.0,16
2.0,rain,301,0,0.0,16
2.0,rain,302,0,0.0,16
2.0,rain,303,0,0.0,16
2.0,no_rain,300,0,0.0,16
2.0,no_rain,301,0,0.0,16
2.0,no_rain,302,0,0.0,16
2.0,no_rain,303,0,0.0,16
1.0,rain,300,0,0.0,16
1.0,rain,301,0,0.0,16
1.0,rain,302,0,0.0,16
1.0,rain,303,0,0.0,16
1.0,no_rain,300,0,0.0,16
1.0,no_rain,301,0,0.0,16
1.0,no_rain,302,0,0.0,16
1.0,no_rain,303,0,0.0,16
0.0,rain,300,0,0.0,16
0.0,rain,301,0,0.0,16
0.0,rain,302,0,0.0,16
0.0,rain,303,0,0.0,16
0.0,no_rain,300,0,0.0,16
0.0,no_rain,301,0,0.0,16
0.0,no_rain,302,0,0.0,16
0.0,no_rain,303,0,0.0,16
